gene	chrom	synonym	hgnc_id	entrez_id	rvis_pct	clinvar_gene_phenotype
SMARCC2	chr12	Rsc8,CRACC2,BAF170	11105	6601	2.707006369	malignant_tumor_of_prostate
SOX5	chr12	L-SOX5,MGC35153	11201	6660	9.088228356	aplasia/hypoplasia_of_the_nails|central_hypotonia|cerebral_visual_impairment_and_intellectual_disability|epileptic_encephalopathy|generalized_hypotonia|lamb-shaffer_syndrome|severe_global_developmental_delay|strabismus|thoracolumbar_scoliosis
SPEF2	chr5	KPL2,FLJ23577,CT122	26293	79925	99.06817646	None
SYNPO	chr5	KIAA1029	30672	11346	40.67586695	None
TENM2	chr5	Ten-M2,KIAA1127,ODZ2	29943	57451	None	None
TMEM132B	chr12	KIAA1906,KIAA1786	29397	114795	2.677518283	None
TP53	chr17	LFS1,p53	11998	7157	35.98726115	acute_megakaryoblastic_leukemia|adenocarcinoma|adrenocortical_carcinoma\x2c_pediatric|astrocytoma|basal_cell_carcinoma\x2c_susceptibility_to\x2c_7|breast_adenocarcinoma|breast_cancer|carcinoma_of_cervix|carcinoma_of_pancreas|choroid_plexus_carcinoma|choroid_plexus_papilloma|dyskeratosis_congenita\x2c_recessive|dyskeratosis_congenita\x2c_autosomal_recessive\x2c_3|familial_cancer_of_breast|familial_colorectal_cancer|glioma_susceptibility_1|hepatoblastoma|hepatocellular_carcinoma|hereditary_cancer-predisposing_syndrome|li-fraumeni-like_syndrome|li-fraumeni_syndrome|li-fraumeni_syndrome_1|li-fraumeni_syndrome_2|malignant_lymphoma\x2c_non-hodgkin|malignant_tumor_of_esophagus|malignant_tumor_of_prostate|mediastinal_germ_cell_tumor|nasopharyngeal_carcinoma|neoplasm_of_ovary|neoplasm_of_stomach|osteosarcoma|rhabdomyosarcoma|sarcoma|thyroid_cancer\x2c_anaplastic|tumor_susceptibility_linked_to_germline_bap1_mutations|antineoplastic_agents_response_-_efficacy\x2c_toxicity/adr|cisplatin_response_-_efficacy\x2c_toxicity/adr|cyclophosphamide_response_-_efficacy\x2c_toxicity/adr|fluorouracil_response_-_efficacy\x2c_toxicity/adr|not_specified,codon_72_polymorphism\x2c_(rs1042522)|not_specified,hereditary_cancer-predisposing_syndrome|paclitaxel_response_-_efficacy\x2c_toxicity/adr
TTC23L	chr5	FLJ25439	26355	153657	96.55579146	None
TTC37	chr5	KIAA0372	23639	9652	58.00896438	malignant_tumor_of_prostate|trichohepatoenteric_syndrome_1
USP22	chr17	KIAA1063,USP3L	12621	23326	27.41802312	None
VCAN	chr5	CSPG2,PG-M	2464	1462	19.95753715	malignant_tumor_of_prostate|vitreoretinopathy|wagner_syndrome
